query,binary euclidean prec,binary euclidean rec,binary euclidean f-measure,binary cosine prec,binary cosine rec,binary cosine f-measure,tf euclidean prec,tf euclidean rec,tf euclidean f-measure,tf cosine prec,tf cosine rec,tf cosine f-measure,tfidf euclidean prec,tfidf euclidean rec,tfidf euclidean f-measure,tfidf cosine prec,tfidf cosine rec,tfidf cosine f-measure
90,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
91,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989
92,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
93,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
94,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
95,0.10000000000000001,1.0,0.18181818181818182,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
98,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
99,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
100,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
101,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
102,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
103,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
104,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
105,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
106,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
107,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
111,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
112,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
118,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
119,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989
120,0.0,0.0,0.0,0.5,1.0,0.66666666666666663,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
121,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
124,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
125,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
127,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
128,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
129,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
130,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
131,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989,0.0,0.0,0.0,0.69999999999999996,1.0,0.82352941176470584
132,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
134,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
135,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
136,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
137,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
141,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
